start_time,end_time,duration,slide
6.033333333333333,7.433333333333334,1.4000000000000004,0.0
7.833333333333333,7.966666666666667,0.13333333333333375,1.0
8.6,8.7,0.09999999999999964,1.0
10.833333333333334,10.933333333333334,0.09999999999999964,1.0
11.566666666666666,11.7,0.13333333333333286,2.0
11.7,11.766666666666666,0.06666666666666643,3.0
14.066666666666666,14.266666666666666,0.1999999999999993,4.0
14.766666666666666,14.9,0.13333333333333464,4.0
15.266666666666666,15.366666666666667,0.10000000000000142,4.0
17.133333333333333,17.233333333333334,0.10000000000000142,4.0
17.3,17.433333333333334,0.13333333333333286,4.0
17.466666666666665,17.566666666666666,0.10000000000000142,4.0
17.666666666666668,17.766666666666666,0.09999999999999787,4.0
17.833333333333332,17.933333333333334,0.10000000000000142,4.0
17.966666666666665,18.066666666666663,0.09999999999999787,4.0
18.1,18.2,0.09999999999999787,4.0
18.233333333333334,18.3,0.06666666666666643,4.0
18.3,18.333333333333332,0.03333333333333144,5.0
20.133333333333333,20.333333333333332,0.1999999999999993,5.0
20.433333333333337,20.53333333333333,0.09999999999999432,5.0
20.666666666666668,20.766666666666666,0.09999999999999787,5.0
22.366666666666667,22.5,0.13333333333333286,5.0
25.1,25.2,0.09999999999999787,5.0
25.366666666666667,25.466666666666665,0.09999999999999787,5.0
26.733333333333334,26.9,0.1666666666666643,5.0
27.3,27.466666666666665,0.1666666666666643,6.0
27.5,27.6,0.10000000000000142,6.0
28.933333333333337,29.266666666666666,0.3333333333333286,6.0
30.9,31.066666666666663,0.1666666666666643,6.0
33.03333333333333,33.13333333333333,0.10000000000000142,6.0
33.233333333333334,33.333333333333336,0.10000000000000142,6.0
33.46666666666667,33.56666666666666,0.09999999999999432,6.0
36.53333333333333,36.7,0.1666666666666714,6.0
36.733333333333334,36.833333333333336,0.10000000000000142,6.0
37.2,37.3,0.09999999999999432,7.0
37.56666666666666,37.7,0.13333333333333997,7.0
40.43333333333333,40.766666666666666,0.3333333333333357,7.0
40.8,40.93333333333333,0.13333333333333286,7.0
41.36666666666667,41.46666666666667,0.10000000000000142,7.0
43.766666666666666,43.93333333333333,0.1666666666666643,7.0
45.733333333333334,45.833333333333336,0.10000000000000142,7.0
46.1,46.2,0.10000000000000142,7.0
48.166666666666664,48.266666666666666,0.10000000000000142,8.0
51.333333333333336,51.93333333333333,0.5999999999999943,8.0
51.96666666666667,52.06666666666666,0.09999999999999432,8.0
52.3,52.5,0.20000000000000284,8.0
52.63333333333333,52.733333333333334,0.10000000000000142,8.0
56.233333333333334,56.333333333333336,0.10000000000000142,8.0
58.96666666666667,59.1,0.13333333333333286,8.0
59.43333333333333,59.53333333333333,0.10000000000000142,8.0
59.93333333333333,60.36666666666667,0.4333333333333371,8.0
60.4,60.833333333333336,0.4333333333333371,8.0
60.86666666666667,61.266666666666666,0.3999999999999986,8.0
61.333333333333336,61.46666666666667,0.13333333333333286,8.0
61.7,61.8,0.09999999999999432,8.0
61.93333333333333,62.13333333333333,0.20000000000000284,8.0
62.166666666666664,62.266666666666666,0.10000000000000142,8.0
62.3,62.46666666666667,0.1666666666666714,8.0
62.56666666666666,62.666666666666664,0.10000000000000142,8.0
62.93333333333333,63.03333333333333,0.10000000000000142,8.0
63.266666666666666,63.43333333333333,0.1666666666666643,8.0
63.666666666666664,63.8,0.13333333333333286,8.0
63.833333333333336,64.0,0.1666666666666643,8.0
64.06666666666666,64.16666666666667,0.10000000000000853,8.0
64.2,64.3,0.09999999999999432,8.0
64.33333333333333,64.43333333333334,0.10000000000000853,8.0
64.46666666666667,64.83333333333333,0.36666666666666003,8.0
64.86666666666666,65.03333333333333,0.1666666666666714,8.0
65.7,65.83333333333333,0.13333333333332575,8.0
66.1,66.26666666666667,0.1666666666666714,8.0
66.3,66.46666666666667,0.1666666666666714,8.0
66.5,66.63333333333333,0.13333333333332575,8.0
66.66666666666667,66.8,0.13333333333332575,8.0
66.83333333333333,66.96666666666667,0.13333333333333997,8.0
67.0,67.1,0.09999999999999432,8.0
